"109年05月12日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","6.98","108","10.04","1.25","108/4",
"1102","亞泥","6.79","108","8.52","1.02","108/4",
"1103","嘉泥","5.99","108","8.31","0.47","108/4",
"1104","環泥","5.65","108","11.27","0.66","109/1",
"1108","幸福","1.92","108","70.91","0.73","108/4",
"1109","信大","6.16","108","6.33","0.90","108/4",
"1110","東泥","0.65","108","-","1.06","109/1",
"1201","味全","5.91","108","8.43","1.64","108/4",
"1203","味王","3.57","108","14.58","1.33","108/4",
"1210","大成","5.22","108","14.43","1.81","108/4",
"1213","大飲","0.00","106","-","0.61","108/4",
"1215","卜蜂","4.23","107","13.08","2.44","109/1",
"1216","統一","3.60","108","20.72","3.64","108/4",
"1217","愛之味","0.00","107","71.20","0.62","108/4",
"1218","泰山","3.69","108","20.33","1.80","108/4",
"1219","福壽","0.54","107","29.60","1.53","108/4",
"1220","台榮","5.69","108","14.86","0.81","108/4",
"1225","福懋油","3.45","108","24.29","2.57","108/4",
"1227","佳格","3.98","108","17.69","3.62","108/4",
"1229","聯華","7.66","108","23.75","1.74","109/1",
"1231","聯華食","5.06","108","13.83","1.99","108/4",
"1232","大統益","4.27","108","19.83","4.33","109/1",
"1233","天仁","4.43","108","27.35","2.07","109/1",
"1234","黑松","5.33","108","16.19","0.71","109/1",
"1235","興泰","4.61","107","55.31","1.00","108/4",
"1236","宏亞","2.45","108","81.67","0.79","108/4",
"1256","鮮活果汁-KY","3.09","108","14.47","3.37","109/1",
"1301","台塑","5.09","108","14.76","1.58","108/4",
"1303","南亞","3.46","108","26.46","1.55","109/1",
"1304","台聚","4.15","108","10.13","0.69","108/4",
"1305","華夏","5.54","108","14.80","1.15","108/4",
"1307","三芳","3.33","108","22.02","1.18","109/1",
"1308","亞聚","6.41","108","11.59","0.93","108/4",
"1309","台達化","5.94","108","8.49","0.78","108/4",
"1310","台苯","6.02","108","36.89","1.34","109/1",
"1312","國喬","0.00","107","6.45","0.55","108/4",
"1313","聯成","2.11","108","-","0.66","109/1",
"1314","中石化","3.56","108","13.80","0.36","108/4",
"1315","達新","7.52","108","13.30","1.11","108/4",
"1316","上曜","16.29","107","-","1.14","108/4",
"1319","東陽","4.87","108","11.00","0.99","108/4",
"1321","大洋","0.00","107","56.23","1.23","108/4",
"1323","永裕","4.85","108","9.94","1.54","109/1",
"1324","地球","3.31","108","226.75","0.70","108/4",
"1325","恆大","0.32","108","225.95","4.75","108/4",
"1326","台化","5.18","108","25.94","1.39","109/1",
"1337","再生-KY","0.00","107","-","0.20","109/1",
"1338","廣華-KY","6.72","108","15.19","0.70","109/1",
"1339","昭輝","5.02","108","7.84","0.85","108/4",
"1340","勝悅-KY","11.71","107","-","0.27","108/4",
"1341","富林-KY","8.06","108","9.94","2.39","109/1",
"1402","遠東新","5.59","108","13.36","0.70","108/4",
"1409","新纖","5.00","108","9.91","0.60","108/4",
"1410","南染","3.27","108","29.71","1.76","108/4",
"1413","宏洲","0.00","107","-","0.81","109/1",
"1414","東和","3.02","108","55.17","0.48","109/1",
"1416","廣豐","10.57","107","-","0.54","108/4",
"1417","嘉裕","6.21","108","5.06","0.53","109/1",
"1418","東華","0.00","107","-","0.47","108/4",
"1419","新紡","2.51","108","30.93","1.37","108/4",
"1423","利華","1.10","108","-","0.66","109/1",
"1432","大魯閣","0.00","107","-","0.89","108/4",
"1434","福懋","7.51","108","10.81","0.87","108/4",
"1435","中福","0.00","107","50.31","1.11","108/4",
"1436","華友聯","6.67","108","16.97","1.30","109/1",
"1437","勤益控","5.37","108","5.31","0.66","109/1",
"1438","裕豐","0.00","107","34.14","2.18","109/1",
"1439","中和","14.56","108","3.28","1.12","108/4",
"1440","南紡","2.31","108","86.40","0.60","109/1",
"1441","大東","45.71","107","-","0.66","108/4",
"1442","名軒","5.67","108","53.48","1.05","108/4",
"1443","立益","0.00","107","433.50","1.01","108/4",
"1444","力麗","5.90","107","113.00","0.63","108/4",
"1445","大宇","2.40","108","-","0.66","108/4",
"1446","宏和","1.03","108","-","2.57","108/4",
"1447","力鵬","3.37","107","-","0.53","108/4",
"1449","佳和","0.00","107","-","2.58","108/4",
"1451","年興","3.93","108","-","0.46","109/1",
"1452","宏益","7.16","108","17.09","0.89","109/1",
"1453","大將","2.84","108","-","0.55","108/4",
"1454","台富","3.16","108","28.29","0.66","108/4",
"1455","集盛","2.84","107","-","0.62","109/1",
"1456","怡華","0.00","107","29.63","0.61","108/4",
"1457","宜進","8.26","108","11.75","0.65","108/4",
"1459","聯發","0.00","107","-","0.74","108/4",
"1460","宏遠","2.44","107","-","0.82","108/4",
"1463","強盛","5.31","108","16.14","0.84","108/4",
"1464","得力","7.37","108","13.94","1.43","108/4",
"1465","偉全","9.71","108","4.83","0.84","108/4",
"1466","聚隆","0.00","107","-","0.56","109/1",
"1467","南緯","0.00","107","-","0.95","108/4",
"1468","昶和","0.00","107","32.19","1.38","108/4",
"1470","大統新創","4.20","108","21.65","1.66","108/4",
"1471","首利","0.00","107","-","0.51","108/4",
"1472","三洋紡","0.00","107","10.04","1.18","108/4",
"1473","台南","2.50","108","36.36","0.77","108/4",
"1474","弘裕","3.13","107","24.00","0.66","108/4",
"1475","本盟","0.00","107","-","12.20","108/4",
"1476","儒鴻","4.06","108","18.15","3.94","109/1",
"1477","聚陽","6.07","107","13.95","2.69","109/1",
"1503","士電","3.74","108","13.32","0.92","108/4",
"1504","東元","3.68","108","17.13","0.97","109/1",
"1506","正道","0.00","107","-","2.16","108/4",
"1507","永大","3.77","108","25.13","2.11","109/1",
"1512","瑞利","0.00","107","-","2.97","108/4",
"1513","中興電","4.34","108","18.94","1.48","109/1",
"1514","亞力","5.87","108","13.28","1.34","109/1",
"1515","力山","4.29","108","23.78","3.67","109/1",
"1516","川飛","2.85","108","34.25","1.20","108/4",
"1517","利奇","2.52","108","132.50","0.57","108/4",
"1519","華城","3.65","108","17.45","2.12","108/4",
"1521","大億","6.98","108","12.11","2.30","108/4",
"1522","堤維西","5.89","108","10.65","1.11","108/4",
"1524","耿鼎","4.71","108","10.76","0.67","109/1",
"1525","江申","4.52","108","11.20","0.79","108/4",
"1526","日馳","4.11","108","12.39","1.14","109/1",
"1527","鑽全","10.04","107","9.63","1.42","108/4",
"1528","恩德","1.34","108","-","0.65","108/4",
"1529","樂士","3.39","108","33.52","1.33","108/4",
"1530","亞崴","4.71","108","7.84","0.97","109/1",
"1531","高林股","1.54","108","81.25","0.66","108/4",
"1532","勤美","2.35","108","19.32","0.83","108/4",
"1533","車王電","1.83","108","13.32","1.09","108/4",
"1535","中宇","3.55","108","30.45","1.41","109/1",
"1536","和大","2.06","108","38.12","3.77","108/4",
"1537","廣隆","7.04","108","12.10","2.71","109/1",
"1538","正峰新","0.00","107","-","0.94","108/4",
"1539","巨庭","5.32","108","14.07","0.75","108/4",
"1540","喬福","6.47","108","15.61","0.90","109/1",
"1541","錩泰","2.71","107","11.57","2.28","108/4",
"1558","伸興","6.62","108","11.30","1.66","109/1",
"1560","中砂","4.64","108","16.17","1.93","109/1",
"1568","倉佑","3.09","108","60.00","1.08","108/4",
"1582","信錦","5.40","108","11.52","1.85","109/1",
"1583","程泰","4.86","108","25.39","1.50","108/4",
"1587","吉茂","3.80","108","263.00","0.75","108/4",
"1589","永冠-KY","0.82","108","39.48","0.84","108/4",
"1590","亞德客-KY","0.95","107","42.69","5.68","109/1",
"1592","英瑞-KY","0.00","107","-","0.51","108/4",
"1598","岱宇","2.96","108","18.98","1.89","108/4",
"1603","華電","1.81","108","18.97","0.86","108/4",
"1604","聲寶","7.63","108","9.63","1.13","109/1",
"1605","華新","3.89","108","15.48","0.59","109/1",
"1608","華榮","7.14","108","-","0.68","109/1",
"1609","大亞","2.82","108","11.83","0.87","109/1",
"1611","中電","8.82","108","6.38","1.00","108/4",
"1612","宏泰","4.78","108","16.33","0.71","108/4",
"1614","三洋電","2.71","108","33.63","1.60","109/1",
"1615","大山","8.70","108","10.55","1.42","108/4",
"1616","億泰","0.00","107","-","0.52","108/4",
"1617","榮星","2.76","108","17.50","0.93","108/4",
"1618","合機","3.82","107","28.04","0.46","108/4",
"1626","艾美特-KY","4.07","108","21.96","1.16","109/1",
"1701","中化","3.70","108","16.78","1.09","108/4",
"1702","南僑","4.47","108","11.46","1.81","108/4",
"1707","葡萄王","3.32","108","20.32","4.14","109/1",
"1708","東鹼","6.54","108","21.08","0.90","109/1",
"1709","和益","3.95","108","28.11","0.88","108/4",
"1710","東聯","1.76","108","-","1.16","109/1",
"1711","永光","1.90","108","23.94","1.11","108/4",
"1712","興農","7.14","108","15.42","1.17","109/1",
"1713","國化","3.24","108","28.87","1.17","109/1",
"1714","和桐","2.04","107","-","0.70","109/1",
"1717","長興","4.93","108","18.09","1.65","109/1",
"1718","中纖","11.74","107","-","0.37","108/4",
"1720","生達","3.69","108","17.10","2.04","109/1",
"1721","三晃","0.00","107","-","0.97","108/4",
"1722","台肥","4.57","108","17.49","0.91","109/1",
"1723","中碳","4.90","108","21.84","3.39","109/1",
"1724","台硝","4.17","108","20.34","0.76","109/1",
"1725","元禎","5.72","108","15.22","0.88","109/1",
"1726","永記","4.62","108","15.48","1.31","109/1",
"1727","中華化","2.04","108","32.67","0.74","108/4",
"1730","花仙子","5.36","108","15.17","2.60","109/1",
"1731","美吾華","4.33","108","19.24","1.04","109/1",
"1732","毛寶","0.00","107","56.78","3.13","108/4",
"1733","五鼎","4.76","108","22.21","1.37","109/1",
"1734","杏輝","0.97","108","257.50","1.24","108/4",
"1735","日勝化","3.88","108","14.08","1.14","108/4",
"1736","喬山","2.28","108","18.30","2.13","109/1",
"1737","臺鹽","4.84","108","19.62","1.00","109/1",
"1760","寶齡富錦","1.29","108","66.67","7.90","108/4",
"1762","中化生","1.27","108","41.59","2.42","108/4",
"1773","勝一","4.38","108","14.76","2.79","109/1",
"1776","展宇","5.07","108","19.71","1.17","108/4",
"1783","和康生","3.06","108","29.25","2.08","108/4",
"1786","科妍","2.97","108","28.58","2.60","109/1",
"1789","神隆","0.85","108","143.64","2.46","109/1",
"1795","美時","0.00","107","28.32","2.43","108/4",
"1802","台玻","3.40","107","-","0.64","108/4",
"1805","寶徠","0.00","107","-","1.25","108/4",
"1806","冠軍","0.00","107","-","0.36","108/4",
"1808","潤隆","5.09","108","35.70","3.41","109/1",
"1809","中釉","2.22","108","-","0.51","109/1",
"1810","和成","2.72","107","56.54","0.48","108/4",
"1817","凱撒衛","5.72","108","12.43","1.26","109/1",
"1902","台紙","1.69","107","22.26","1.32","108/4",
"1903","士紙","0.00","107","-","4.13","108/4",
"1904","正隆","5.36","108","10.77","1.05","108/4",
"1905","華紙","4.69","107","-","0.54","108/4",
"1906","寶隆","4.03","108","15.50","0.48","108/4",
"1907","永豐餘","5.49","108","9.24","0.54","108/4",
"1909","榮成","2.38","108","28.64","0.71","108/4",
"2002","中鋼","2.55","108","103.16","1.03","109/1",
"2006","東和鋼鐵","5.88","108","14.71","0.95","108/4",
"2007","燁興","0.00","107","-","0.74","108/4",
"2008","高興昌","0.00","107","-","1.10","109/1",
"2009","第一銅","0.00","107","-","0.87","109/1",
"2010","春源","3.23","108","22.14","0.60","109/1",
"2012","春雨","6.80","108","11.03","1.26","108/4",
